Product,Color,Price,Old_Price,Discount,Rating,Delivery_Method,Image_URL
Fashion Casual Lace,Blue/White,GH₵ 110.00,GH₵ 175.00,37%,4.1 out of 5,Pay On Delivery,https://gh.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/56/077711/1.jpg?8916
Casual Low Top Lace Up Sneakers,Black,GH₵ 49.99 - GH₵ 54.00,GH₵ 75.60 - GH₵ 100.00,50%,3.8 out of 5,Pay On Delivery,https://gh.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/58/512846/1.jpg?1452
Tip Athletic Unisex Sneakers,Black,GH₵ 62.00 - GH₵ 65.00,GH₵ 100.00,38%,3.9 out of 5,✆0302740642 to Order,https://gh.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/21/0120801/1.jpg?9932
Fashion Lace Up Sneakers Men's Shoes,Blue/White,GH₵ 115.00,GH₵ 156.00,26%,4 out of 5,Pay On Delivery,https://gh.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/24/237711/1.jpg?9868
Casual Low Top Lace Up Sneakers,Black,GH₵ 49.99 - GH₵ 54.00,GH₵ 100.00,50%,3.8 out of 5,Pay On Delivery,https://gh.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/07/938605/1.jpg?1363
Luxury Design Sneakers,Brown,GH₵ 55.00 - GH₵ 60.00,GH₵ 100.00,45%,4.1 out of 5,✆0302740642 to Order,https://gh.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/17/666949/1.jpg?6279
Fashion Wear,White,GH₵ 85.00,GH₵ 148.00,43%,4.3 out of 5,✆0302740642 to Order,https://gh.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/59/444445/1.jpg?6232
Fashion Casual Fashion Lace,Multicolour,GH₵ 115.00,GH₵ 150.00 - GH₵ 192.00,40%,,,https://gh.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/64/3984211/1.jpg?6398
Low,Black,GH₵ 79.00,GH₵ 120.00,34%,3.8 out of 5,Pay On Delivery,https://gh.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/29/25175/1.jpg?6867
Fashion Casual High,Khaki,GH₵ 145.00,GH₵ 200.00 - GH₵ 257.00,44%,4.5 out of 5,,https://gh.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/07/9315211/1.jpg?0609
On Point Low,Black/White,GH₵ 65.00,GH₵ 130.00,50%,4.1 out of 5,Pay On Delivery,https://gh.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/93/17694/1.jpg?2135
